character_id,character_name,file_name,personality,label
8d0fb0d4b2424490,Ritsu Tainaka,deredere/8d0fb0d4b2424490.webp,"Ritsu is the source of fun and encouragement in her band, often making jokes, puns, or pranks and being sarcastic much of the time. She has an upbeat yet carefree personality and often has trouble remembering important club activities and announcements. Because of that, she constantly gets whacked by her childhood friend Mio Akiyama . Despite her forgetfulness, she usually brainstorms for ideas to earn more money or for the club's success in general (like blackmailing Sawako Yamanaka to become the club's supervisor). Her attitude of collecting as much money as possible lets her sometimes appear greedy, something she greatly dislikes. Ritsu is always on the go and will stop at nothing for the success of the Light Music Club, even when everyone else gives up. Ritsu is very barefaced, sometimes audacious, or even impudent, yet she rarely has ill intentions and usually apologizes the moment after she goes too far. On the other hand, her personality has led to her building up a large endurance to Mio smacking her, the bassist being the least tolerant of Ritsu's antics. From time to time, Ritsu has been shown to be rather lazy as well.",deredere
5d9d37d82f187c39,"Suelecia ""Sue"" Zagan Analeit",kuudere/5d9d37d82f187c39.webp,"Sue is extremely attached to Schlain, to the point of completely idolizing him. Making her distrusting of any females of similar age approaching Schlain. Sue has expressed her intense dislike towards Karnatia ever since her young age. This is due to Schlain and Katia's relationship as best friends in their previous life, which, to Sue, looks like a budding romantic relationship between the two. In the anime, her bitter jealousy with Karnatia is much more tone down. Sue is considered quite studious both in academics and combat-wise. This likely stems from her emulating Schlain as he studied to learn the language and trained to regain the full use of his body.",kuudere
ae50b1dc411ef8a1,Fate Testarossa,kuudere/ae50b1dc411ef8a1.webp,"Fate is a very serious and strong-willed person. At first, she was rather cold to Nanoha, but starts to show her kind and protective side after realizing how much Nanoha has reached out to her. Learning of her own origins has led her to question herself, and at times wonder about her own worth, but after seeing Alicia in the Book Of Darkness, she has come to see herself as her own person. She is especially driven to solve incidents similar to the one that happened with her mother, and ensure that other children do not have to suffer like she did. Fate tends to worry about others fairly often, especially Nanoha in wake of the incident in which she was nearly crippled, and her children, Erio, Caro and Vivio. As a result, she is more permissive and protective as a parent than Nanoha, running over to Vivio when she trips rather than having her come to her. Despite her toughness, she is shown to be very shy at times, often blushing several times in the anime. Jail Scaglietti also speculated that the reason Fate adopted Erio and Caro is because she wanted to obtain the love she lost before, and that her feelings towards Erio and Caro are similar to Presea's feelings for Alicia. Fate has neither confirmed nor denied these suspicions.",kuudere
0f8cae141bdf1cbc,Ran-Mao,kuudere/0f8cae141bdf1cbc.webp,"Ran-Mao is a mostly emotionless, taciturn individual who hardly ever engages in conversation. She is deeply loyal to Lau ; she accompanies him wherever he goes and generally acts only when instructed by him. Although she is not related to Lau, he refers to her as his sister, given that they have known each other since they were very young; he once described her as a ""pampered child."" Ran-Mao is flirtatious. At Lau's behest or suggestion, she will attempt to seduce others, such as when she flirted with Georg von Siemens at one of Ciel Phantomhive 's parties and Baldroy in the sewers below Pitt 's Lark Photographic Studio . Ran-Mao, a highly skilled martial artist, possesses formidable strength and speed. She has no qualms about using violence to extract information or to defend herself. Since she regularly indulges in opium, she has developed a tolerance to sedatives.",kuudere
e48e97df3d1500b7,Italy,deredere/e48e97df3d1500b7.webp,"Italy is a cheerful, energetic man. He loves pasta, pizza, gelato, and cheese. Although he relies on Germany a lot, Italy doesn't really listen to what he says and instead daydreams or wanders off. His hobbies include cooking, siestas, painting, singing and flirting with any cute girl he sees. In the webcomic and the first drama CD, it is noted that he frequently gets stomach pains due to overindulging on gelato. Italy is shown to have a compulsion of stripping off all of his clothes for his daily 3PM ""siestas"", and usually forgets to put his pants back on after he wakes back up (causing Germany to have to lend him a pair of his own). His public nudity has become notorious enough to where Switzerland will fire upon him if he catches him streaking throughout his homeland. He also has the verbal tic of making a ""Ve"" sound (really said by Italians, above all in Emilia-Romagna, whereas you could hear a ""Be"" in other Italian regions, which is an abbreviation of ""bene"", ""good"", and it has the same function of the English interjection ""well"" at the beginning of a sentence), though in the anime adaptation, he makes other onomatopoeic sounds as well, a more notable one being a chant of ""Herahera"" (a Japanese onomatopoeia which means ""acting foolishly"" or ""frivolous"") .",deredere
ab969ce05a6c0d1d,Ai Miyashita,deredere/ab969ce05a6c0d1d.webp,"As a suggestible, friendly and sociable person who's always willing to help, Ai has a lot of friends and can be seen chatting with strangers at any given time. She is also very caring, especially with her family and friends. In the neighborhood she lives, she tends to refer to all sorts of people around as siblings. Ai is very empathetic, selfless and supportive, as she loves helping others and is also very open about how much she cares about their feelings. This is particularly evident with Rina and her childhood friend Misato, as she's shown to constantly be loving and supportive to them. Because she is a gyaru , she can be mistaken as the type of person to skip school or be rebellious. However, she has very good grades and is very fun-loving and nice. She can be a bit loud, but never in an obnoxious way, as it just serves as a mood-maker to her fellow idols. Her cheerfulness, however, mustn't be taken at all for her being dumb; Ai is indeed very intelligent and an excellent student. Also, despite her energetic, cheerful nature and somewhat goofy appearance, she's also very capable of being levelheaded and well-organized. Ai tends to speak very casually, using a lot of slang. She is also known for her puns, many of which are not very funny to those around her.",deredere
3e755f1ab9e37e82,Seijuurou Akashi,kuudere/3e755f1ab9e37e82.webp,"As the only child of an prominent family, Akashi experienced a strict upbringing from the moment he was born and was taught to always stand above the rest. This caused him to adopt the same merciless winning mentality as his father and develop an extremely strong, almost inhumane level of self-discipline that has led Akashi to appear calm and unwaveringly confident in nearly every aspect of life. He regards victory not as something to be sought, but as something as simple and vital for survival as breathing. Akashi is most notably in possession of two separate, distinctive personalities, both of which refer to themselves as Seijūrō Akashi. This split began in Akashi's fifth year of elementary school, following the death of his beloved mother and the severe workload forced onto him by his increasingly strict father. Around this time, Akashi specifically noticed that he acted differently at home compared to when he was at school. While the separation between these two personalities became increasingly clearer with time, Akashi did not fully switch from one personality to the other until his third year at Teikō Junior High . In the face of near defeat, Akashi was crushed by his ingrained expectation of victory and forced to split in order to win and to remain ahead of his teammates.",kuudere
d7be8978a936f91a,Yoshida Yuuko / Shamiko,deredere/d7be8978a936f91a.webp,"Yuko is very polite and well-mannered, as seen in both the manga and anime adaptation. She always speaks formally, and is generally a kind person. Despite her awakening as a demon, Yuko is still friendly and compassionate. This is shown very often, such as when Momo gets sick and Yuko tends to her despite claiming Momo as her enemy. She is also rather emotional, getting overly excited or easily upset about simple things. Yuko is a firm optimist, always trying to see the best in people and the world. Despite the hardships she's faced, such as her sickly childhood and difficult living situation due to the curse on her family, she continues to push on and holds no malice towards anyone, always striving to achieve the best outcome for everyone no matter the situation. Due to her sheltered childhood, Yuko is rather naive to the world, although she is actually quite wise when it comes to familiar subjects. While physically weak, Yuko has an incredibly strong will, showing an unshakable resolve in the face of crisis and a refusal to give up. When her family or friends are in trouble, she'll rush to their aid and do all in her power to help.",deredere
c09c8da44c05cae2,Yukine,tsundere/c09c8da44c05cae2.webp,"Yukine speaks his mind freely and has a biting sense of humor. He is rather outgoing, making friends easily when given the opportunity. He possesses a strong sense of right and wrong and diligently works to improve himself after past mistakes. Over time, he also gains a sense of pride and responsibility toward guiding Yato as his lead shinki, becoming attached to the point that he is insecure of Yato relying on other shinki. Yukine is quite easily led by his emotions, sometimes acting impulsively without realizing the consequences– particularly when the matter concerns people who are important to him. He has a tendency to lock others out or lash out in anger when he feels betrayed, but normally demonstrates a deep sense of loyalty and protectiveness over the people he cares about.",tsundere
0a5801737ec39c61,Akuru Akutsu,kuudere/0a5801737ec39c61.webp,"Akuru is an intelligent and serious high school student who is forced to deal with Yoshiko Hanabatake ’s stupidity. Though only interested in studying, he is unwittingly dragged into many of Yoshiko’s escapades much to his dismay. Throughout the series, Akuru is seen as the straight man, constantly dealing with the eccentric personalities of those around him (especially Yoshiko) and is quick to make rude remarks. He is very upfront about his disgust for Yoshiko, often resorting to physical abuse whenever she annoys him. Despite this, Akuru is said to be strange himself as he is completely antisocial, having little to no friends due to his abrasive attitude. Because he has no qualms with beating women, he is also considered to be a believer in “gender equality”.",kuudere
